time_h,cond2012_mean_s_per_m,cond2012_ci95_lo,cond2012_ci95_hi,cond2026_mean_s_per_m,cond2026_ci95_lo,cond2026_ci95_hi,integrity2012_mean,integrity2012_ci95_lo,integrity2012_ci95_hi,integrity2026_mean,integrity2026_ci95_lo,integrity2026_ci95_hi
0,7.746998,7.036116,8.466360,0.022507,0.015391,0.029616,1.000000,1.000000,1.000000,0.970000,0.970000,0.970000
6,8.093378,7.454061,8.765198,120.551128,88.172305,155.900388,1.000000,1.000000,1.000000,0.970000,0.970000,0.970000
12,8.463153,7.812259,9.102650,202.427639,173.977734,231.978746,1.000000,1.000000,1.000000,0.970000,0.970000,0.970000
18,8.811321,8.163272,9.458471,232.664164,205.499301,260.203605,1.000000,1.000000,1.000000,0.970000,0.970000,0.970000
24,9.166724,8.523203,9.806510,243.541114,215.626820,271.354746,1.000000,1.000000,1.000000,0.970000,0.970000,0.970000
30,9.524532,8.861474,10.185733,247.626228,219.440838,275.903606,1.000000,1.000000,1.000000,0.970000,0.970000,0.970000
36,9.880490,9.177228,10.554391,249.186650,220.733355,277.501948,1.000000,1.000000,1.000000,0.970000,0.970000,0.970000
42,10.228414,9.537535,10.932537,250.126645,221.225065,278.120643,1.000000,1.000000,1.000000,0.961908,0.846166,0.970000
48,10.573193,9.850350,11.303282,250.077835,221.531093,278.310815,1.000000,1.000000,1.000000,0.910830,0.824943,0.970000
54,10.942023,10.167033,11.703717,249.826954,221.527492,278.344447,1.000000,1.000000,1.000000,0.871233,0.824070,0.920554
60,11.278541,10.468090,12.106515,249.659369,221.519934,278.611526,1.000000,1.000000,1.000000,0.897183,0.839744,0.949660
66,11.652631,10.768938,12.518374,250.283365,221.297037,278.690685,1.000000,1.000000,1.000000,0.926555,0.878427,0.961543
72,12.016000,11.048484,12.955221,250.249803,221.740888,278.552448,1.000000,1.000000,1.000000,0.945237,0.911548,0.966566
78,12.017749,11.060046,12.947006,250.047856,221.330043,278.644398,1.000000,1.000000,1.000000,0.955691,0.933195,0.968611
84,11.995601,11.049732,12.949429,250.169737,221.506769,278.703711,1.000000,1.000000,1.000000,0.961584,0.946449,0.969499
90,11.957190,11.016611,12.934357,249.774359,221.370097,278.396431,1.000000,1.000000,1.000000,0.965138,0.954875,0.969784
96,11.450458,9.541762,12.898259,249.391867,221.448529,278.519128,0.966503,0.820660,1.000000,0.967109,0.960484,0.969914
102,10.461455,8.205926,12.737917,249.717692,221.805920,278.096010,0.885204,0.660608,1.000000,0.968232,0.963886,0.969966
108,9.142048,6.917733,11.402934,249.505416,221.412732,278.625118,0.765409,0.530156,1.000000,0.968964,0.966202,0.969987
114,7.945733,5.846791,9.948424,250.044811,221.541882,278.428584,0.631902,0.417733,0.836162,0.964186,0.865064,0.969995
120,6.926353,4.862935,8.863242,249.978984,221.378200,278.410512,0.519072,0.332797,0.707564,0.929961,0.827411,0.969997
126,6.067160,4.118430,7.913703,250.170600,221.455341,278.549782,0.430963,0.262982,0.602784,0.902445,0.827038,0.969998
132,5.260022,3.478590,7.015783,249.930045,221.490220,278.474562,0.357815,0.209424,0.511060,0.885582,0.826193,0.947153
138,4.579253,2.816851,6.288901,249.907409,221.250256,278.522065,0.297358,0.162898,0.436573,0.911180,0.844354,0.959672
144,4.025435,2.415565,5.624368,250.427831,221.807482,278.639314,0.246859,0.129059,0.374902,0.934581,0.881816,0.966222
150,3.493756,1.999913,4.998807,250.292309,221.492153,278.340648,0.203318,0.102396,0.317922,0.949447,0.913555,0.968411
156,3.083890,1.708397,4.490164,250.199742,221.493479,278.630648,0.169443,0.080743,0.272474,0.958275,0.934000,0.969363
162,2.667780,1.417785,3.985070,250.030786,221.503305,278.412406,0.141585,0.063818,0.232097,0.963168,0.947477,0.969761
168,2.316520,1.176842,3.568629,249.830320,221.630430,278.588375,0.118667,0.050707,0.199317,0.965996,0.955746,0.969906
174,2.025522,0.987450,3.169403,249.460088,221.459864,278.215896,0.098675,0.050000,0.173123,0.967595,0.960913,0.969962
180,1.804868,0.821848,2.879347,249.822837,221.286764,278.534437,0.083195,0.050000,0.145496,0.968571,0.964480,0.969984
186,1.555519,0.693555,2.539100,249.979889,221.632477,278.544298,0.072309,0.050000,0.125583,0.969118,0.966203,0.969993
192,1.371672,0.581096,2.274001,249.864675,221.328821,278.683613,0.063975,0.050000,0.106752,0.969479,0.967643,0.969998
198,1.196571,0.485171,2.040279,250.142112,221.537533,278.441833,0.058076,0.050000,0.091297,0.969677,0.968498,0.969999
204,1.064468,0.399902,1.837896,250.018389,221.396477,278.472993,0.053769,0.050000,0.076788,0.969803,0.969010,0.970000
210,0.915514,0.343789,1.631599,249.654951,221.401769,278.660918,0.051780,0.050000,0.067990,0.969877,0.969386,0.970000
216,0.813333,0.300000,1.468048,249.823510,221.499574,278.500445,0.050415,0.050000,0.056747,0.969926,0.969614,0.970000
222,0.707471,0.300000,1.295103,250.460162,221.600631,278.662448,0.050045,0.050000,0.050000,0.969954,0.969751,0.970000
228,0.631735,0.300000,1.176267,249.713977,221.388420,278.431267,0.050000,0.050000,0.050000,0.969972,0.969846,0.970000
234,0.564898,0.300000,1.071800,249.865218,221.609718,278.343646,0.050000,0.050000,0.050000,0.969982,0.969903,0.970000
240,0.504430,0.300000,0.939486,250.357424,221.589754,278.575847,0.050000,0.050000,0.050000,0.969989,0.969938,0.970000
